Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
The Barony Of Erris Birdwatching,https://www.mayo-ireland.ie/en/towns-villages/bangor/bangor-activities-birdwatching.html,+353(0)9782292,-9.990733019,54.2237204,Mayo,,Republic of Ireland,"Bird Watching,Nature and Wildlife,Natural Landscape"
Cappoquin House Gardens,https://www.cappoquinhouseandgardens.com,3535854290,-7.8503399,52.1494507,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden,Historic Houses and Castle,Tour"
Ballymoney North Beach,https://www.blueflag.global/show-site?siteId=10257,,-6.203500032,52.67669255,Wexford,Ballymoney,Ireland,Beach
The Wexford Slobs and Wildfowl Reserve,https://www.wexfordwildfowlreserve.ie,353761000000,-6.4200302,52.3570279,Wexford,,Ireland,"Bird Watching,Nature and Wildlife,Learning,Photography,Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Natural Landscape"
Bushy Park,,+353(0)14900320,-6.292767969,53.30131952,Dublin,Terenure,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Morriscastle Beach ,https://www.blueflag.global/show-site?siteId=6636,,-6.2383223,52.5141228,Wexford,,Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Inishcrone Pier (Enniscrone Pier),,,-9.096038,54.220128,Sligo,Enniscrone,Ireland,Discovery Point
The Irish Rock 'N' Roll Museum Experience,https://www.facebook.com/irishrockmuseum,+353(0)16351993,-6.2645993,53.344865,Dublin,,Ireland,"Covid Safety Charter,Activity Operator,Museums and Attraction,Traditionally Irish,Food Shops,Shopping,Tour"
Marlay Park,http://www.dlrcoco.ie/parks/marlay_information.html,+353(0)14937372,-6.276237376,53.27676505,Dublin,Rathfarnham,Republic of Ireland,"Cycling,Golf,Walking,Gardens,Garden,Historic Houses and Castle,Public Park,Nature and Wildlife,Venue,Music,Sports Venues,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Shopping,Tour"
City Highlights Walking Tour- Dublin,http://sightwalkingdublin.com/,+353(0)862002480,-6.2604903,53.3396625,Dublin,,Ireland,"Gaa,Walking,Activity Operator,Tour"
The Úna Guy Studio,http://Unaguy.ie,+353(0)868109972,-6.264839781,53.3451271,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
Michael Collins House,http://michaelcollinshouse.ie,353239000000,-8.8914,51.6217,Cork,Clonakilty,Ireland,"Covid Safety Charter,Museums and Attraction,Food Shops,Shopping,Tour"
Piltown - Mountain Grove Loop,http://www.trailkilkenny.ie,+353(0)567752111,-7.341113595,52.35373178,Kilkenny,,Ireland,"Walking,Natural Landscape"
Killala Quay,,,-9.2192835,54.213245,Mayo,Killala,Ireland,Discovery Point
The Jeanie Johnston,http://www.jeaniejohnston.ie,+353(0)14730111,-6.245995144,53.34776903,Dublin,Dublin City,Republic of Ireland,"Covid Safety Charter,Activity Operator,Museums and Attraction,Tour"
Abbey Road Artists’ Studios,http://www.athloneartsandtourism.ie/artists-studios/,353906000000,-7.9442923,53.429856,Westmeath,Athlone,Ireland,"Craft,Shopping,Art Gallery"
Wexford Town Library,http://www.wexford.ie/library,+353(0)539121637,-6.463811,52.342114,Wexford,Wexford Town,Republic of Ireland,Literary Ireland
Brideweir Hous,https://www.brideweir.ie,3532536386,-8.1550475,52.0869699,Cork,Conna,Ireland,"Castle,Historic Houses and Castle"
Clasac,http://www.clasac.ie,+353(0)18363060,-6.230766,53.360651,Dublin,Clontarf,Republic of Ireland,"Learning,Museums and Attraction,Traditionally Irish,Venue,Music,Food Shops,Shopping"
Lassanroe Garden,https://www.discoverireland.ie/Arts-Culture-Heritage/lassanroe-garden/71154,3532822563,-9.311018382,51.58731379,Cork,Skibbereen,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Bere Island - East End Pier,,,-9.819922,51.634348,Cork,Bere Island,Ireland,Discovery Point
Greenacres Art Centre,https://www.greenacres.ie/the-gallery/,353539000000,-6.464030093,52.34143477,Wexford,Wexford Town,Republic of Ireland,"Craft,Shopping,Art Gallery,Venue,Comedy,Music,Activity Operator"
Rascals Brewing Company,https://rascalsbrewing.com,35315382051,-6.3240651,53.3361014,Dublin,Inchicore,Ireland,"Covid Safety Charter,Restaurant,Food and Drink,Activity Operator,Museums and Attraction,Pubs and Bar,Food Shops,Shopping,Tour"
Samphire Island,,,-9.859530615,52.27970839,Kerry,Fenit,Republic of Ireland,Discovery Point
Locaboat Ireland,https://www.locaboat.com/en/boating-holidays/ireland/shannon/,353720000000,-8.099788373,53.94423816,Leitrim,,Republic of Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Carrowteige - Children of Lir Loop,http://www.irishtrails.ie/Trail/Carrowteige--Children-of-Lir--Loop/141/,,-9.813638063,54.31261173,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Killiney  Hill,http://www.dlrcoco.ie/parks/killiney.html,+353(0)12047275,-6.107273729,53.2703464,Dublin,Killiney,Ireland,"Photography,Learning,Walking,Natural Landscape,Public Park,Nature and Wildlife,Cafe,Food and Drink"
Wicklow Brewery,https://www.wicklowbrewery.ie/brewery.html,35340441661,-6.14497101,52.88935803,Wicklow,Redcross,Ireland,"Food and Drink,Restaurant,Museums and Attraction,Pubs and Bar,Tour"
Government Buildings,http://www.taoiseach.gov.ie,+353(0)16194249,-6.254129,53.339374,Dublin,,Republic of Ireland,"Historic Houses and Castle,Tour"
Bá Fhionntrá (Fintragh Bay),,,-8.4882206,54.635294,Donegal,,Ireland,Discovery Point
Kilkenny Library Local Studies,http://kilkennylibrary.ie/eng/our_services/local_studies,+353(0)567794160,-7.246596988,52.65542983,Kilkenny,Kilkenny City,Republic of Ireland,"Learning,Tracing Your Ancestors,Literary Ireland"
Altar,,,-9.6438852,51.514061,Cork,Schull,Ireland,Discovery Point
Arklow Beach,,,-6.126780942,52.81185983,Wicklow,Arklow,Ireland,Beach
IMI Conference Centre & Residence,http://www.imi.ie/,+353(0)12078400,-6.231596,53.275966,Dublin,Sandyford,Republic of Ireland,"Restaurant,Learning,Historic Houses and Castle,Food and Drink,Food Shops,Shopping"
Tullahought Kilmacoliver Loop Walk,http://www.trailkilkenny.ie,,-7.373104348,52.42256284,Kilkenny,,Republic of Ireland,"Walking,Natural Landscape"
Toy Soldier Factory & Visitor Centre,https://toysoldierfactory.ie,3532640342,-9.082187,51.900673,Cork,,Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Museums and Attraction,Cafe,Food and Drink,Food Shops"
Waterloo Round Tower,http://www.irishstones.org/place.aspx?p=1232,,-8.573712,51.954691,Cork,Blarney,Republic of Ireland,Historic Houses and Castle
Cappagh Pier,,,-9.498637,52.628546,Clare,Kilrush,Ireland,Discovery Point
Sonairte The National Ecology Centre,http://www.sonairte.ie,+353(0)419827572,-6.256045676,53.67827618,Meath,Laytown,Republic of Ireland,"Agriculture,Nature and Wildlife,Food and Drink,Restaurant,Gardening,Learning,Activity Operator,Natural Landscape,Cafe,Local Produce"
Garryvoe Beach,https://www.ringofcork.ie/listings/garryvoe-beach/,+353(0)214613432,-7.99973,51.865968,Cork,Garryvoe,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Rumley's Open Farm,https://rumleysfarm.ie/,353215000000,-8.5365005,51.83483762,Cork,,Ireland,"Walking,Zip Lining,Activity Operator,Visitor Farm,Cafe,Food and Drink,Food Shops,Shopping"
Knockpatrick Gardens,https://knockpatrickgardens.com,3536965256,-9.108704,52.591073,Limerick,Foynes,Ireland,"Gardening,Nature and Wildlife,Photography,Learning,Gardens,Garden"
"Imaginosity, Dublin Children’s Museum",http://www.imaginosity.ie,+353(0)12176130,-6.216709,53.277382,Dublin,Sandyford,Republic of Ireland,"Craft,Shopping,Learning,Activity Operator,Museums and Attraction,Cafe,Food and Drink,Food Shops"
Castlegregory Beach Green Coast Beach Award 2017,,,-10.013826,52.260314,Kerry,Castlegregory,Ireland,Discovery Point
The Irish Pewtermill Centre,,+353(0)879090044,-6.809467632,52.98488874,Kildare,Moone,Republic of Ireland,Museums and Attraction
Carlow Town Walk - Slí na Sláinte,https://carlowtourism.com/carlow-town-walk/,353599000000,-6.9294889,52.8352498,Carlow,,Ireland,"Walking,Historic Houses and Castle,Public Park,Nature and Wildlife"
Clonakilty Brewing Company,http://clonakiltybrew.ie,353879000000,-8.9019341,51.61647,Cork,Clogheen,Ireland,"Food and Drink,Restaurant,Museums and Attraction,Artisan,Activity Operator,Food Shops,Shopping,Tour"
Tig Bhric & West Kerry Brewery,https://westkerrybrewery.ie,353877000000,-10.3863964,52.1704021,Kerry,Dingle Peninsula,Ireland,"Food and Drink,Restaurant,Museums and Attraction,Pubs and Bar,Tour"
Mountain Stage,,,-10.034603,52.035924,Kerry,Glenbeigh,Ireland,Discovery Point
Independence Museum Kilmurry,http://www.kilmurrymuseum.ie,353217000000,-8.881698017,51.84240006,Cork,Macroom,Ireland,"Covid Safety Charter,Learning,Museums and Attraction"
The Browne Clayton Monument,https://www.igs.ie/conservation/project/browne-clayton-monument,353539000000,-6.8049493,52.3599232,Wexford,,Ireland,Public Sculpture
Leamaneh Castle,,,-9.1399531,52.987804,Clare,,Ireland,"Castle,Historic Houses and Castle"
Hill of Slane,,353420000000,-6.5401217,53.7176713,Meath,Slane,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
William Smith O'Brien Monument,http://www.visitdublin.com,+353(0)16057700,-6.259341,53.348576,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Bective Abbey,http://monastic.ie/history/bective-cistercian-abbey,,-6.7028943,53.5824741,Meath,Ballina,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kilcooley Abbey,"http://www.megalithicireland.com/Kilcooley%20Abbey,%20Tipperary.html",,-7.5713094,52.6707686,Tipperary,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Hamwood House and Gardens,https://hamwood.ie,35318255210,-6.5136092,53.4112349,Meath,Dunboyne,Ireland,"Photography,Learning,Walking,Historic Houses and Castle,Gardens,Garden,Tour"
Dardistown Castle,http://www.dardistowncastle.ie,353420000000,-6.3136965,53.6645112,Meath,Julianstown,Ireland,"Photography,Learning,Historic Houses and Castle,Castle,Tour"
Michael J Quill Centre,http://www.historic-ireland.com/places/778.html,353647000000,-9.46143,51.902656,Kerry,Kilgarvan,Republic of Ireland,Museums and Attraction
Kilbrittain Whale,,+353(0)862567084,-8.6917337,51.6735577,Cork,Kilbrittain,Ireland,Natural Landscape
Vincent Hyland Art Gallery,https://www.vincenthylandartist.com/,353832000000,-10.106873,51.754406,Kerry,Caherdaniel,Ireland,"Craft,Shopping,Photography,Learning,Art Gallery"
Limerick City Gallery of Art,http://gallery.limerick.ie/,35361310633,-8.6284482,52.658502,Limerick,,Ireland,"Craft,Shopping,Learning,Art Gallery,Cafe,Food and Drink"
Salterbridge House Gardens,http://www.salterbridgehouseandgarden.com/,3535854952,-7.8804767,52.1489749,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden"
Carrownisky Strand,,,-9.893226,53.735383,Mayo,Louisburgh,Ireland,Discovery Point
Burren Art & Craft Fair,https://www.facebook.com/burrencrafts,353868000000,-9.150688235,53.11695957,Clare,Ballyvaughan,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Lackagh Museum and Heritage Centre,https://www.lackaghmuseum.ie,353878000000,-8.8910537,53.3695037,Galway,,Ireland,"Covid Safety Charter,Museums and Attraction"
Alix Gardners Cookery School,http://www.dublincookery.com,+353(0)16681553,-6.245333,53.329644,Dublin,Ballsbridge,Republic of Ireland,"Cooking,Cookery,Learning,Activity Operator,Historic Houses and Castle,Artisan,Food and Drink,Restaurant,Local Produce"
Grange Beach,http://cleancoasts.org/wp-content/uploads/2015/02/Green-Coast-2015.pdf,,-6.8298309,52.1981951,Wexford,Grange,Ireland,"Kitesurfing,Windsurfing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Desmond Hall,http://www.heritageireland.ie/en/shannon-region/desmondhall,3536977408,-9.060708,52.450419,Limerick,Newcastle West,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Castle"
Ballyheige Beach,,,-9.8356122,52.388788,Kerry,Ballyheigue,Ireland,Discovery Point
Lynch's Castle,http://galwaycity.galway-ireland.ie/lynchs-castle.htm,,-9.0522862,53.2731658,Galway,,Ireland,"Castle,Historic Houses and Castle"
Waterford Room,http://waterfordlibraries.ie/branches/,+353(0)51849975,-7.11108,52.259561,Waterford,Waterford City,Republic of Ireland,"Learning,Historic Houses and Castle,Literary Ireland"
Lackan Strand,,,-9.2574486,54.274154,Mayo,,Ireland,Discovery Point
Inis Cathaigh - Scattery Island Discovery Point,,,-9.518447007,52.61440511,Clare,Kilrush,Ireland,Discovery Point
Abbey Road Gardens,https://www.facebook.com/waterfordgardentrail/,353872000000,-7.102184,52.264196,Waterford,Ferrybank,Republic of Ireland,"Gardens,Garden"
Lackeen Castle Lorrha,"http://www.megalithicireland.com/Lackeen%20Castle,%20Tipperary.html",353863000000,-8.0735866,53.0887302,Tipperary,,Ireland,"Castle,Historic Houses and Castle"
Long Acre Alpacas,https://facebook.com/Long-acre-alpacas-826113690904317,353876000000,-6.5978215,53.8803381,Louth,Ardee,Ireland,"Learning,Photography,Walking,Visitor Farm,Venue,Sports Venues,Tour"
Ballyhist Garden,https://tipperary.com/listings/ballyhist-garden/,353527000000,-7.872028223,52.31529252,Tipperary,Ardfinnan,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Black Castle Wicklow,"http://www.megalithicireland.com/Black%20Castle,%20Wicklow.html",,-6.030845,52.9811225,Wicklow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
George Bernard Shaw,http://www.talkingstatuesdublin.ie/statues/george-bernard-shaw/,,-6.25248666,53.34092467,Dublin,,Ireland,"Covid Safety Charter,Public Sculpture,Talking Statue"
St. Crónáns High Cross at Black Mills,https://tipperary.com/listings/st-cronans-high-cross-at-black-mills/,35350521850,-7.7957194,52.9554436,Tipperary,,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Public Sculpture,Ruins"
Garter Lane Arts Theatre,http://www.facebook.com/garterlaneartscentre,+353(0)51855038,-7.114905,52.261684,Waterford,Waterford City,Republic of Ireland,"Learning,Art Gallery,Activity Operator"
Annemarie Bourke Studio Gallery,https://www.annemariebourke.com/,35361410510,-8.6293925,52.6613024,Limerick,,Ireland,"Craft,Shopping,Learning,Art Gallery"
Manorcunningham View,,,-7.622315,54.958368,Donegal,Manorcunningham,Ireland,Discovery Point
City Hall Cork,https://www.corkcity.ie/en/,353215000000,-8.464807,51.8965976,Cork,Cork City,Ireland,"Historic Houses and Castle,Venue,Comedy,Music"
Doughmore Bay,,,-9.504238,52.745639,Clare,Doonbeg,Ireland,Discovery Point
The Kerry Creamery Experience,https://www.facebook.com/thekerrycreameryexperience,353670000000,-9.6679626,52.1145293,Kerry,Milltown,Ireland,"Covid Safety Charter,Agriculture,Nature and Wildlife,Activity Operator,Museums and Attraction,Visitor Farm,Cafe,Food and Drink,Tour"
Irish Film Institute,http://ifi.ie/archive,35316793477,-6.264943,53.344624,Dublin,,Republic of Ireland,"Movies,Cinema,Venue,Museums and Attraction,Cafe,Food and Drink,Activity Operator,Food Shops,Shopping"
St Michan's Church,,35318724154,-6.275396,53.347458,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ros Goill (Rossguill Peninsula),,,-7.8449062,55.227669,Donegal,Downings,Ireland,Discovery Point
Monksgrange Garden & Norman Gallery,http://www.monksgrangegarden.com,353539000000,-6.7837777,52.5178443,Wexford,,Ireland,"Walking,Gardens,Garden"
Haggardstown Old Church and Graveyard,,,-6.3780595,53.9662155,Louth,,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
Ballybunion North Beach,https://www.blueflag.global/show-site?siteId=6641,353667000000,-9.681072438,52.50507167,Kerry,Ballybunion,Republic of Ireland,Beach
Corravahan House & Gardens,http://www.corravahan.com,353880000000,-7.2597449,54.0352035,Cavan,,Ireland,"Historic Houses and Castle,Gardens,Garden,Tour"
Primrose Hill,,+353(0)16280373,-6.450529,53.353489,Dublin,Lucan,Ireland,"Castle,Historic Houses and Castle"
Baginbun Beach,,,-6.929462,52.123762,Wexford,,Republic of Ireland,Beach
Blackwater Open Farm,https://www.blackwateropenfarm.ie/,353851000000,-6.342129,52.42801,Wexford,Blackwater,Ireland,"Covid Safety Charter,Agriculture,Nature and Wildlife,Visitor Farm,Cafe,Food and Drink"
On The Nail' Literary Readings,http://www.limerickwriterscentre.com,+353(0)872996409,-8.62318,52.667199,Limerick,Limerick City,Republic of Ireland,"Learning,Activity Operator,Literary Ireland"
St Mary's Church Leixlip,http://www.leixlipandlucan.glendalough.anglican.org,35316240976,-6.490518,53.363249,Kildare,Leixlip,Republic of Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Heir Island,,,-9.438856311,51.49624242,Cork,,Ireland,Discovery Point
The Doorway Gallery,http://thedoorwaygallery.com,+353(0)17645895,-6.2563,53.342249,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
Derrycassin Walks,http://visitlongford.ie/listings/derrycassin-woods-walk/,+353(0)433342577,-7.538751653,53.83076035,Longford,,Republic of Ireland,"Walking,Natural Landscape"
Father Murphy Centre,https://www.facebook.com/Fr-Murphy-Centre-Boolavogue-315611758499163,353539000000,-6.4107808,52.5485902,Wexford,Boolavogue,Ireland,Museums and Attraction
Aine Dunne - Fine Art Tapestry Weaver,http://www.ainedunneweaver.com,353879000000,-6.351277,53.762114,Louth,Drogheda,Ireland,"Craft,Shopping,Learning,Art Gallery,Activity Operator"
Maynooth Campus Conference & Accommodation,http://www.maynoothcampus.com,+353(0)17086400,-6.592757857,53.37649551,Kildare,Maynooth,Republic of Ireland,"Restaurant,Learning,Historic Houses and Castle,Food and Drink"
Temple Cronan Early Christian Church,,353657000000,-9.0609731,53.0461692,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ahakista Air India Plane Disaster Memorial,http://livingthesheepsheadway.com/air-india-disaster-memorial,3532821489,-9.621448,51.59751,Cork,Ahakista,Republic of Ireland,Public Sculpture
Ballymoon Castle,http://carlowtourism.com/ballymoon-castle-2,,-6.9062967,52.700405,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
Carnivan Beach,,,-6.830589669,52.17620032,Wexford,,Republic of Ireland,Beach
"Newman University Church, Our Lady Seat of Wisdom",http://newman.nd.edu/,+353(0)14759674,-6.260616,53.336624,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Leinster House,http://www.oireachtas.ie/parliament/visitsevents/,+353(0)16183271,-6.254252,53.340122,Dublin,Dublin City,Republic of Ireland,"Historic Houses and Castle,Tour"
Sol Art Gallery,http://www.solart.ie,+353(0)16750972,-6.257837936,53.34207607,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
Biddy's Cottage,https://www.biddyscottage.com,353864000000,-6.096538524,53.27655982,Dublin,Dalkey,Ireland,"Craft,Shopping,Activity Operator,Historic Houses and Castle,Local Produce,Food and Drink,Restaurant,Food Shops"
Tory Hill - Frochans Loop,http://www.trailkilkenny.ie,,-7.17550686,52.36787812,Kilkenny,Mullinavat,Republic of Ireland,"Walking,Natural Landscape"
De Valera Museum and Bruree Heritage Centre,http://visitballyhoura.com/index.php/2015/07/22/de-valera-museum-bruree-heritage-centre,353864000000,-8.662829,52.4244926,Limerick,Bruree,Ireland,Museums and Attraction
Wood Quay,http://www.visitdublin.com/dublin-a-to-z/details/wood-quay/49834/,+353(0)14370969,-6.26098,53.343599,Dublin,,Republic of Ireland,"Public Sculpture,Ruins,Historic Houses and Castle"
St Catherine's Church,http://saintcatherines.ie/,35314735100,-6.281194,53.342908,Dublin,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Drishane House,https://drishane.com,3532836126,-9.1811823,51.5261146,Cork,Drishane,Ireland,"Historic Houses and Castle,Gardens,Garden,Museums and Attraction"
Inis Bó Finne - Inishbofin Island - Donegal,,,-8.170623921,55.1678058,Donegal,Inishbofin Island,Ireland,Discovery Point
Agricultural Heritage Display Centre,http://www.coolakayhouse.ie/museum,35312862423,-6.1880463,53.1667259,Wicklow,Enniskerry,Ireland,"Agriculture,Nature and Wildlife,Museums and Attraction"
Red Abbey,http://www.corkpastandpresent.ie/mapsimages/corkphotographs/corkcameraclubhistoricalphotos/redabbeystreet/,353215000000,-8.4723587,51.8940883,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Front Strand Beach,https://youghal.ie/top-10-things-to-do/youghal-beaches/,+353(0)2420769,-7.851509,51.937915,Cork,Youghal,Republic of Ireland,"Surfing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Lár Na Pairce museum  - The Story of Gaelic Games,http://larnapairce.ie,35350422702,-7.8130745,52.6782242,Tipperary,Thurles,Ireland,"Gaa,Museums and Attraction,Venue,Sports Venues"
The Donegal Gaeltacht,,,-8.1107141,54.654487,Donegal,Glencolmcille,Ireland,Natural Landscape
Esker Monastery Retreat,http://www.facebook.com/Esker-Redemptorists-251128325046360/,+353(0)91844007,-8.683624,53.282257,Galway,Kiltullagh,Republic of Ireland,"Walking,Church Abbey,Monastery,Churches,Abbeys and Monastery,Activity Operator"
Shekina Sculpture Garden,http://www.shekinasculpturegarden.com,353869000000,-6.351044997,52.95589079,Wicklow,Glenmalure,Republic of Ireland,"Gardens,Garden"
The Lace Gallery,http://www.thelacegallery.com,353599000000,-6.7364351,52.7535167,Carlow,,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Cleggan Harbour,,,-10.111172,53.556776,Galway,Cleggan,Ireland,Embarkation Point
The Moth Studios,http://www.facebook.com/TheMothStudios,353873000000,-7.3594973,53.9931383,Cavan,,Ireland,"Craft,Shopping,Art Gallery"
The Manor Fields Adare,http://manorfieldsadare.com/,353874000000,-8.7913384,52.5547882,Limerick,Adare,Republic of Ireland,"Climbing,Activity Operator,Gaa,Walking"
North Kerry Museum,http://www.northkerrymuseum.com,353877000000,-9.6553707,52.4708634,Kerry,Ballyduff,Ireland,"Museums and Attraction,Food Shops,Shopping"
Ahenny High Crosses,http://www.megalithicireland.com/High%20Cross%20Ahenny.htm,,-7.393333382,52.41253746,Tipperary,Ahenny,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Angela Woulfe Gallery,http://www.angelawoulfegallery.com/,35361310164,-8.6288578,52.6591346,Limerick,,Ireland,"Craft,Shopping,Art Gallery"
"Victorian People's Flower Gardens, Phoenix Park",http://phoenixpark.ie/what-to-see/,+353(0)18213021,-6.299662901,53.35038531,Dublin,Phoenix Park,Ireland,"Walking,Gardens,Garden,Public Park,Nature and Wildlife,Cafe,Food and Drink"
Cablemaster's Residence,https://atlanticvilla.ie/cablemaster-house,353872000000,-10.289066,51.922393,Kerry,Knightstown,Republic of Ireland,"Castle,Historic Houses and Castle"
Lismore County Library,http://waterfordlibraries.ie/branches/,+353(0)5821377,-7.935046,52.136636,Waterford,Lismore,Republic of Ireland,"Learning,Literary Ireland"
Woodstown Beach,,,-6.983563056,52.19287649,Waterford,Woodstown,Republic of Ireland,Beach
Kilpatrick Beach,,,-6.151020144,52.72790513,Wexford,Castletown,Republic of Ireland,Beach
Muckross Friary,http://www.heritageireland.ie/en,353647000000,-9.504292,52.018083,Kerry,Killarney,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,National Park,National and Forest Park,Ruins"
Cionn Mhucrois (Muckros Head),,,-8.5899407,54.617378,Donegal,Kilcar,Ireland,Discovery Point
Galway County Library,http://www.galwaylibrary.ie,+353(0)91562471,-9.05756,53.273911,Galway,Galway City,Republic of Ireland,Literary Ireland
St. Patricks Well - Clonmel,,353526000000,-7.761667,52.362071,Tipperary,Clonmel,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Secret Gardens Sligo,https://www.secretgardensofsligo.com/gardens,353863000000,-8.476086439,54.27641929,Sligo,Sligo Town,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Aran Islands - Inishmaan - Inis Meáin,,,-9.58965917,53.08469456,Galway,Aran Islands,Republic of Ireland,"Island,Offshore Island"
Edmund Burke,http://www.visitdublin.com,+353(0)16057700,-6.261219,53.344479,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Tour"
Waterford Garden Trail,https://www.facebook.com/waterfordgardentrail,3535854975,-7.115246071,52.2659554,Waterford,Waterford City,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
North Mayo Family Research Centre,http://www.northmayogenealogy.com/,3539631809,-9.3114016,54.0704965,Mayo,Ballina,Ireland,"Tracing Your Ancestors,Gardens,Garden,Museums and Attraction,Cafe,Food and Drink"
Killarney Art Gallery,http://www.killarneyartgallery.com/,353873000000,-9.5091062,52.0588637,Kerry,Killarney,Ireland,"Craft,Shopping,Art Gallery"
Castlemorris - Fern Loop,http://www.irishtrails.ie/Trail/Castlemorris---Fern-loop-/119/,,-7.212819444,52.48398887,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Martina Furlong - Artists Studio Gallery,https://www.martinafurlong.com/,353875000000,-6.4063611,52.498219,Wexford,Gorey,Ireland,"Craft,Shopping,Art Gallery"
Shannon-Erne Waterway Ballinamore,http://www.waterwaysireland.org/places-to-go/shannon-erne-waterway,+353(0)719644855,-7.804921955,54.05289061,Leitrim,Ballinamore,Republic of Ireland,"Fishing,Angling,River,Discovery Point,Boat,Tour"
Greenfort,http://www.donegalgardentrail.com/site/?page_id=2306,353878000000,-7.65388635,55.13440451,Donegal,Kerrykeel,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Pollardstown Fen,http://www.kildare.ie/details.asp?GCID=68,35345980483,-6.845791,53.1835843,Kildare,,Ireland,"Agriculture,Nature and Wildlife,Walking,Natural Landscape"
Beale Strand,,,-9.6312144,52.573972,Kerry,Ballybunion,Ireland,Discovery Point
Kells Beach ,https://www.blueflag.global/show-site?siteId=6654,353647000000,-10.1319167,52.0252772,Kerry,Kells,Ireland,"Fishing,Angling,Swimming,Swimming Pools and Water Park,Venue,Beach,Natural Landscape"
Kinnagoe Bay,,,-7.0128822,55.258608,Donegal,,Ireland,Discovery Point
Áras Inis Gluaire,http://arasinisgluaire.ie/main/,+353(0)9781079,-9.988932505,54.22246655,Mayo,Belmullet,Republic of Ireland,"Craft,Shopping,Learning,Movies,Cinema,Venue,Art Gallery,Music,Cafe,Food and Drink"
Old Cork Waterworks Experience,http://www.lifetimelab.ie,353215000000,-8.5092931,51.895023,Cork,,Ireland,"Covid Safety Charter,Learning,Historic Houses and Castle,Museums and Attraction,Cafe,Food and Drink"
Nenagh Heritage Centre & North Tipp Genealogy Centre,https://www.facebook.com/Nenaghheritage/,3536733850,-8.2007414,52.8656669,Tipperary,Nenagh,Ireland,"Tracing Your Ancestors,Historic Houses and Castle,Museums and Attraction,Tour"
Dun na Rí Forest Park,http://www.coillte.ie/site/dun-a-ri-forest-park/,+353(0)494331942,-6.792601382,53.91922203,Cavan,Kingscourt,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
